UID,good-score,good,bad-score,bad,linguistics_term
160,,استسلم الخائن أمام الأعداء,,استسلمت الخائن أمام الأعداء,VS- V agrees S in gender
161,,بدأت المعلمات اليوم بنشاط,,بدأ المعلمات اليوم بنشاط,VS- V agrees S in gender
162,,استيقظ الفلاح باكراً,,استيقظت الفلاح باكراً,VS- V agrees S in gender
163,,أتقن العامل عمله,,أتقنت العامل عمله,VS- V agrees S in gender
164,,أعطى المدير جائزة,,أعطت المدير جائزة,VS- V agrees S in gender
165,,منحت المعلمة العلامة التامة للطالب,,منح المعلمة العلامة التامة للطالب,VS- V agrees S in gender
166,,أقام المؤذن الصلاة,,أقامت المؤذن الصلاة,VS- V agrees S in gender
167,,زارت هند الجدة,,زار هند الجدة,VS- V agrees S in gender
168,,أسعف الممرض المرضى,,أسعفت الممرض المرضى,VS- V agrees S in gender
169,,لعب الفريق بمهارة,,لعبت الفريق بمهارة,VS- V agrees S in gender
170,,تحدث المعلم عن عالم الحيوان,,تحدثت المعلم عن عالم الحيوان,VS- V agrees S in gender
171,,تابعت الصديقتان المباراة,,تابع الصديقتان المباراة,VS- V agrees S in gender
172,,ذهب الأصدقاء إلى الحديقة,,ذهبت الأصدقاء إلى الحديقة,VS- V agrees S in gender
173,,وصل المسافرون المطار ,,وصلت المسافرون المطار ,VS- V agrees S in gender
174,,شرب محمد العصير ,,شربت محمد العصير ,VS- V agrees S in gender
175,,عمل العامل بجد,,عملت العامل بجد,VS- V agrees S in gender
176,,قصد الحجاج بيت الله الحرام,,قصدت الحجاج بيت الله الحرام,VS- V agrees S in gender
177,,أقام المعهد حفلة تخرج,,أقامت المعهد حفلة تخرج,VS- V agrees S in gender
178,,ناضل الأدباء ضد العنصرية,,ناضلت الأدباء ضد العنصرية,VS- V agrees S in gender
179,,تدافع صاحبة العقل عن الحق,,يدافع صاحبة العقل عن الحق,VS- V agrees S in gender
180,,أملى المسؤول عليهم التعليمات,,أملت المسؤول عليهم التعليمات,VS- V agrees S in gender
181,,يهاجر الباحثان طلباً للعلم,,تهاجر الباحثان طلباً للعلم,VS- V agrees S in gender
182,,تقطف الفلاحات القطن,,يقطف الفلاحات القطن,VS- V agrees S in gender
183,,رسم الشباب المستقبل,,رسمت الشباب المستقبل,VS- V agrees S in gender
184,,أجرى الكادر الطبي العملية الجراحية,,أجرت الكادر الطبي العملية الجراحية,VS- V agrees S in gender
185,,سدد الزبائن الديون,,سددت الزبائن الديون,VS- V agrees S in gender
186,,قرأ الأطفال عن حياة الرسول,,قرأت الأطفال عن حياة الرسول,VS- V agrees S in gender
187,,فتح القائد المدينة,,فتحت القائد المدينة,VS- V agrees S in gender
188,,صنع أحمد عدسة مكبرة,,صنعت أحمد عدسة مكبرة,VS- V agrees S in gender
189,,انتقل أخي إلى مكان جديد,,انتقلت أخي إلى مكان جديد,VS- V agrees S in gender
190,,جهز الأهل الحقائب للسفر,,جهزت الأهل الحقائب للسفر,VS- V agrees S in gender
191,,سافر الجميع برحلة ممتعة,,سافرت الجميع برحلة ممتعة,VS- V agrees S in gender
192,,دقق المدقق المقالة,,دققت المدقق المقالة,VS- V agrees S in gender
193,,اضطر صديقي للخروج,,اضطرت صديقي للخروج,VS- V agrees S in gender
194,,شاهد الحضور العمل الفني,,شاهدت الحضور العمل الفني,VS- V agrees S in gender
195,,عرضت نقابة الفنانين مسرحية أدبية,,عرض نقابة الفنانين مسرحية أدبية,VS- V agrees S in gender
196,,بنى أجدادنا الأهرامات,,بنت أجدادنا الأهرامات,VS- V agrees S in gender
197,,شرحت المعلمة الدرس,,شرح المعلمة الدرس,VS- V agrees S in gender
198,,استطاع صاحب الإرادة تحقيق النصر,,استطاعت صاحب الإرادة تحقيق النصر,VS- V agrees S in gender
199,,اهتمت الأم بالنظافة,,اهتم الأم بالنظافة,VS- V agrees S in gender
200,,بادر المشاركون لتشجيع الفريق,,بادرت المشاركون لتشجيع الفريق,VS- V agrees S in gender
201,,بنى المهندس الجسر الكبير,,بنت المهندس الجسر الكبير,VS- V agrees S in gender
202,,قطف الفلاح الثمار,,قطفت الفلاح الثمار,VS- V agrees S in gender
203,,غرست الطالبات الأشجار,,غرس الطالبات الأشجار,VS- V agrees S in gender
204,,زين السكان الحي,,زينت السكان الحي,VS- V agrees S in gender
205,,دار الأولاد حول الملعب,,دارت الأولاد حول الملعب,VS- V agrees S in gender
206,,انتظر المصاب الفرج,,انتظرت المصاب الفرج,VS- V agrees S in gender
207,,أطال المسافر البعد,,أطالت المسافر البعد,VS- V agrees S in gender
208,,غلب الجنود العدو,,غلبت الجنود العدو,VS- V agrees S in gender
209,,رقدت المريضة في السرير,,رقد المريضة في السرير,VS- V agrees S in gender
210,,أسعف الرجل المصابين,,أسعفت الرجل المصابين,VS- V agrees S in gender
211,,أخمد الإطفاء الحريق,,أخمدت الإطفاء الحريق,VS- V agrees S in gender
212,,أشعل الحاقد الفتنة,,أشعلت الحاقد الفتنة,VS- V agrees S in gender
213,,كسبت التاجرة المال,,كسب التاجرة المال,VS- V agrees S in gender
214,,باع الرجل البضاعة,,باعت الرجل البضاعة,VS- V agrees S in gender
215,,تزوج أخي بحفل بهيج,,تزوجت أخي بحفل بهيج,VS- V agrees S in gender
216,,استخرج التلاميذ معاني الكلمات,,استخرجت التلاميذ معاني الكلمات,VS- V agrees S in gender
217,,أيقظ الشوق شعور المحبة,,أيقظت الشوق شعور المحبة,VS- V agrees S in gender
218,,انتبه المصحح للغلط,,انتبهت المصحح للغلط,VS- V agrees S in gender
219,,استبدل الموظف الأرقام بكلمات,,استبدلت الموظف الأرقام بكلمات,VS- V agrees S in gender
220,,كتب المؤرخ الأحداث,,كتبت المؤرخ الأحداث,VS- V agrees S in gender
221,,قضمت الفتاة التفاحة,,قضم الفتاة التفاحة,VS- V agrees S in gender
222,,تناول أفراد الأسرة الفطور,,تناولت أفراد الأسرة الفطور,VS- V agrees S in gender
223,,زارت المديرة معمل الأدوية,,زار المديرة معمل الأدوية,VS- V agrees S in gender
224,,زرع المدافعون الأرض سيوفاً,,زرعت المدافعون الأرض سيوفاً,VS- V agrees S in gender
225,,رمى الفارس السهام,,رمت الفارس السهام,VS- V agrees S in gender
226,,قتل الصهاينة محمد الدرة,,قتلت الصهاينة محمد الدرة,VS- V agrees S in gender
227,,اختطفت العصابة مدير البنك,,اختطف العصابة مدير البنك,VS- V agrees S in gender
228,,قابل الموظفون مديرة الناحية,,قابلت الموظفون مديرة الناحية,VS- V agrees S in gender
229,,زار السياح قلعة حلب,,زارت السياح قلعة حلب,VS- V agrees S in gender
230,,طلب الزوار الدليل السياحي,,طلبت الزوار الدليل السياحي,VS- V agrees S in gender
231,,شرحت المرشدة للجميع حول الآثار,,شرح المرشدة للجميع حول الآثار,VS- V agrees S in gender
232,,تعالج الطبيبة المرضى,,يعالج الطبيبة المرضى,VS- V agrees S in gender
233,,ضمدت الممرضة الجرحى,,ضمد الممرضة الجرحى,VS- V agrees S in gender
234,,قامت التلميذة بواجباتها,,قام التلميذة بواجباتها,VS- V agrees S in gender
235,,أقرض خالد صديقه,,أقرضت خالد صديقه,VS- V agrees S in gender
236,,استرجع أصحاب الحق ما أخذ منهم,,استرجعت أصحاب الحق ما أخذ منهم,VS- V agrees S in gender
237,,وافقت المسؤولة على تلبية الدعوة,,وافق المسؤولة على تلبية الدعوة,VS- V agrees S in gender
238,,استقبل أبي الضيوف بوجه بشوش,,استقبلت أبي الضيوف بوجه بشوش,VS- V agrees S in gender
239,,اندفع اللاعبون نحو الهدف,,اندفعت اللاعبون نحو الهدف,VS- V agrees S in gender
240,,قرأت التلميذة الدرس,,قرأ التلميذة الدرس,VS- V agrees S in gender
241,,تلى الشيخ القرآن,,تلت الشيخ القرآن,VS- V agrees S in gender
242,,لعب أحمد لعبة الشطرنج,,لعبت أحمد لعبة الشطرنج,VS- V agrees S in gender
243,,نجحت فاطمة في المدرسة,,نجح فاطمة في المدرسة,VS- V agrees S in gender
244,,اندهش الجميع من جمال الطبيعة,,اندهشت الجميع من جمال الطبيعة,VS- V agrees S in gender
245,,طرق الضيف الباب,,طرقت الضيف الباب,VS- V agrees S in gender
246,,رحل أخي إلى أوربا,,رحلت أخي إلى أوربا,VS- V agrees S in gender
247,,اتصل المدير بي,,اتصلت المدير بي,VS- V agrees S in gender
248,,أكل الحضور الحلويات,,أكلت الحضور الحلويات,VS- V agrees S in gender
249,,شرح المعلم القاعدة النحوية,,شرحت المعلم القاعدة النحوية,VS- V agrees S in gender
250,,سبحت الطفلة في البحر,,سبح الطفلة في البحر,VS- V agrees S in gender
251,,بحث القائد عن الحقائق,,بحثت القائد عن الحقائق,VS- V agrees S in gender
252,,اشترت أمي سيارة جديدة,,اشترى أمي سيارة جديدة,VS- V agrees S in gender
253,,منح الغني الفقير كسوة,,منحت الغني الفقير كسوة,VS- V agrees S in gender
254,,نهض التلاميذ احتراما للمعلم,,نهضت التلاميذ احتراما للمعلم,VS- V agrees S in gender
255,,استفسر العامل عن طبيعة العمل,,استفسرت العامل عن طبيعة العمل,VS- V agrees S in gender
256,,زار الصديق صديقه المريض,,زارت الصديق صديقه المريض,VS- V agrees S in gender
257,,أشاد المسلمون الصروح العالية,,أشادت المسلمون الصروح العالية,VS- V agrees S in gender
258,,أقامت المديرة حفل تكريم,,أقام المديرة حفل تكريم,VS- V agrees S in gender
259,,كسرت الفتاة الزجاجة,,كسر الفتاة الزجاجة,VS- V agrees S in gender
260,,طاف الناس حول الكعبة,,طافت الناس حول الكعبة,VS- V agrees S in gender
261,,أدار السائق مقود السيارة,,أدارت السائق مقود السيارة,VS- V agrees S in gender
262,,وضع المستثمرون الأموال في البنك,,وضعت المستثمرون الأموال في البنك,VS- V agrees S in gender
263,,طلبت المذنبة العفو,,طلب المذنبة العفو,VS- V agrees S in gender
264,,استمر الشباب بالدراسة,,استمرت الشباب بالدراسة,VS- V agrees S in gender
265,,غرس الأبطال السيوف,,غرست الأبطال السيوف,VS- V agrees S in gender
266,,زرع الفلاح الورد,,زرعت الفلاح الورد,VS- V agrees S in gender
267,,تسامر الرجال ليلاً,,تسامرت الرجال ليلاً,VS- V agrees S in gender
268,,استكشف الطليعي المكان,,استكشفت الطليعي المكان,VS- V agrees S in gender
269,,اكتشف المصحح الأخطاء,,اكتشفت المصحح الأخطاء,VS- V agrees S in gender
270,,نصب البدو الخيام,,نصبت البدو الخيام,VS- V agrees S in gender
271,,جهز المتهم نفسه,,جهزت المتهم نفسه,VS- V agrees S in gender
272,,خبز الفران المعجنات,,خبزت الفران المعجنات,VS- V agrees S in gender
273,,عمل أهل المعروف الخير,,عملت أهل المعروف الخير,VS- V agrees S in gender
274,,منع الشاب الجريمة,,منعت الشاب الجريمة,VS- V agrees S in gender
275,,انطلق العمال نحو المعمل,,انطلقت العمال نحو المعمل,VS- V agrees S in gender
276,,يحترم العالم العلم,,تحترم العالم العلم,VS- V agrees S in gender
277,,استطاع الجندي تلبية النداء,,استطاعت الجندي تلبية النداء,VS- V agrees S in gender
278,,اقتدت الطالبة بالمعلم,,اقتدى الطالبة بالمعلم,VS- V agrees S in gender
279,,احتذى العمال النهج,,احتذت العمال النهج,VS- V agrees S in gender
280,,ساوم الأسير على الحرية,,ساومت الأسير على الحرية,VS- V agrees S in gender
281,,سافر الأصدقاء برحلة,,سافرت الأصدقاء برحلة,VS- V agrees S in gender
282,,وصل رائد الفضاء القمر,,وصلت رائد الفضاء القمر,VS- V agrees S in gender
283,,انخدع الرجل بمن حوله,,انخدعت الرجل بمن حوله,VS- V agrees S in gender
284,,سرق المرض السعادة,,سرقت المرض السعادة,VS- V agrees S in gender
285,,اهتم الدعاة بالشعائر,,اهتمت الدعاة بالشعائر,VS- V agrees S in gender
286,,صعد محمد الفارس سطح القمر,,صعدت محمد الفارس سطح القمر,VS- V agrees S in gender
287,,حفظت التلميذة القصيدة,,حفظ التلميذة القصيدة,VS- V agrees S in gender
288,,نطق العرب بالضاد,,نطقت العرب بالضاد,VS- V agrees S in gender
289,,احتفل المسلمون بعيد الأضحى,,احتفلت المسلمون بعيد الأضحى,VS- V agrees S in gender
290,,يتساعد الأصدقاء في العمل,,تتساعد الأصدقاء في العمل,VS- V agrees S in gender
291,,يحمل الشاب المسؤولية,,تحمل الشاب المسؤولية,VS- V agrees S in gender
292,,تحرص المعلمات على الوقت,,يحرص المعلمات على الوقت,VS- V agrees S in gender
293,,نهضت المريضة من الفراش,,نهض المريضة من الفراش,VS- V agrees S in gender
294,,رقص الحضور مع الأغنية,,رقصت الحضور مع الأغنية,VS- V agrees S in gender
295,,يستفيد المشتركون من الفرص,,تستفيد المشتركون من الفرص,VS- V agrees S in gender
296,,استقبل الطلاب العام الدراسي,,استقبلت الطلاب العام الدراسي,VS- V agrees S in gender
297,,يساند القوي المظلوم,,تساند القوي المظلوم,VS- V agrees S in gender
298,,تبادل الرجال أطراف الحديث,,تبادلت الرجال أطراف الحديث,VS- V agrees S in gender
299,,غادر أخي المطار,,غادرت أخي المطار,VS- V agrees S in gender
300,,فهم المخضرم الحياة,,فهمت المخضرم الحياة,VS- V agrees S in gender
301,,قرأ التلاميذ القصة,,قرأوا التلاميذ القصة,VS- V NOT agrees S in number
302,,ذهب الولدان برحلة,,ذهبا الولدان برحلة,VS- V NOT agrees S in number
303,,صنع العاملان القارب,,صنعا العاملان القارب,VS- V NOT agrees S in number
304,,قطف الفلاحون الثمار,,قطفوا الفلاحون الثمار,VS- V NOT agrees S in number
305,,لعب الأطفال في الحديقة,,لعبوا الأطفال في الحديقة,VS- V NOT agrees S in number
306,,قرأت الطالبات الدرس,,قرأن الطلبات الدرس,VS- V NOT agrees S in number
307,,ذهب الأبطال إلى المعركة,,ذهبوا الأبطال إلى المعركة,VS- V NOT agrees S in number
308,,صنع العمال المجسم,,صنعوا العمال المجسم,VS- V NOT agrees S in number
309,,بنى المهندسون الجسر,,بنوا المهندسون الجسر,VS- V NOT agrees S in number
310,,نهل الطلاب من منهل العلم,,نهلوا الطلاب من منهل العلم,VS- V NOT agrees S in number
311,,حصد الفلاحون الأرض,,حصدوا الفلاحون الأرض,VS- V NOT agrees S in number
312,,قطفت الفلاحات الثمار,,قطفن الفلاحات الثمار,VS- V NOT agrees S in number
313,,كسر الأطفال الكرسي,,كسروا الأطفال الكرسي,VS- V NOT agrees S in number
314,,عمل الرجلان بجد,,عملا الرجلان بجد,VS- V NOT agrees S in number
315,,شرب الأطفال الحليب,,شربوا الأطفال الحليب,VS- V NOT agrees S in number
316,,صرخ الأولاد,,صرخوا الأولاد,VS- V NOT agrees S in number
317,,ذهب الأطفال إلى الجدة,,ذهبوا الأطفال إلى الجدة,VS- V NOT agrees S in number
318,,زار السياح المتحف,,زاروا السياح المتحف,VS- V NOT agrees S in number
319,,هدم العمال المبنى,,هدموا العمال المبنى,VS- V NOT agrees S in number
320,,زار الوالدان أولادهما,,زارا الوالدان أولادهما,VS- V NOT agrees S in number
321,,قسم المحتلون البلاد,,قسموا المحتلون البلاد,VS- V NOT agrees S in number
322,,ضرب الصهاينة أرض فلسطين,,ضربوا الصهاينة أرض فلسطين,VS- V NOT agrees S in number
323,,هجم الجنود على العدو,,هجموا الجنود على العدو,VS- V NOT agrees S in number
324,,هاج الناس من الغضب,,هاجوا الناس من الغضب,VS- V NOT agrees S in number
325,,أخذ الأولاد اللقاح,,أخذوا الأولاد اللقاح,VS- V NOT agrees S in number
326,,أعطى الأطباء محاضرة عن النظافة,,أعطوا الأطباء محاضرة عن النظافة,VS- V NOT agrees S in number
